SITE_GAW_ID,DATE,DATE,DATE,TIME,TIME,TIME,END_YEAR,END_MONTH,END_DAY,END_HOUR,END_MIN,END_SEC,CO2_VALUE,CO2_VALUE_UNC,CO2_NVALUE,LAT,LONG,ALT,ELEVATION,INTAKE,QC_flag
CVO,2020,1,5,10,0,0,-999,-9,-9,-9,-9,-9,417.8,0.046,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,5,11,0,0,-999,-9,-9,-9,-9,-9,417.9,0.109,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,5,12,0,0,-999,-9,-9,-9,-9,-9,418.24,0.089,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,5,13,0,0,-999,-9,-9,-9,-9,-9,418.67,0.13,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,5,14,0,0,-999,-9,-9,-9,-9,-9,418.78,0.045,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,5,15,0,0,-999,-9,-9,-9,-9,-9,418.8,0.044,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,5,16,0,0,-999,-9,-9,-9,-9,-9,418.76,0.048,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,5,17,0,0,-999,-9,-9,-9,-9,-9,418.87,0.042,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,5,18,0,0,-999,-9,-9,-9,-9,-9,418.92,0.051,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,5,19,0,0,-999,-9,-9,-9,-9,-9,418.95,0.048,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,5,20,0,0,-999,-9,-9,-9,-9,-9,419.21,0.096,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,5,21,0,0,-999,-9,-9,-9,-9,-9,419.43,0.041,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,5,22,0,0,-999,-9,-9,-9,-9,-9,419.39,0.056,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,5,23,0,0,-999,-9,-9,-9,-9,-9,419.3,0.063,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,6,0,0,0,-999,-9,-9,-9,-9,-9,419.44,0.062,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,6,1,0,0,-999,-9,-9,-9,-9,-9,419.62,0.052,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,6,2,0,0,-999,-9,-9,-9,-9,-9,419.54,0.069,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,6,3,0,0,-999,-9,-9,-9,-9,-9,419.29,0.135,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,6,4,0,0,-999,-9,-9,-9,-9,-9,418.95,0.099,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,6,5,0,0,-999,-9,-9,-9,-9,-9,418.71,0.095,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,6,6,0,0,-999,-9,-9,-9,-9,-9,418.71,0.062,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,6,7,0,0,-999,-9,-9,-9,-9,-9,418.92,0.075,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,6,8,0,0,-999,-9,-9,-9,-9,-9,419.15,0.054,39,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,6,9,0,0,-999,-9,-9,-9,-9,-9,419.22,0.068,11,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,6,10,0,0,-999,-9,-9,-9,-9,-9,419.11,0.148,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,6,11,0,0,-999,-9,-9,-9,-9,-9,418.45,0.205,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,6,12,0,0,-999,-9,-9,-9,-9,-9,417.64,0.245,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,6,13,0,0,-999,-9,-9,-9,-9,-9,417.3,0.036,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,6,14,0,0,-999,-9,-9,-9,-9,-9,417.38,0.036,51,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,6,15,0,0,-999,-9,-9,-9,-9,-9,-999.999,-999.999,-9999,16.864025,-24.867519,10,17,-999.999,3
CVO,2020,1,6,16,0,0,-999,-9,-9,-9,-9,-9,417.11,0.166,59,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,6,17,0,0,-999,-9,-9,-9,-9,-9,416.63,0.089,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,6,18,0,0,-999,-9,-9,-9,-9,-9,416.35,0.078,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,6,19,0,0,-999,-9,-9,-9,-9,-9,416.21,0.082,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,6,20,0,0,-999,-9,-9,-9,-9,-9,415.95,0.098,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,6,21,0,0,-999,-9,-9,-9,-9,-9,415.85,0.043,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,6,22,0,0,-999,-9,-9,-9,-9,-9,415.79,0.058,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,6,23,0,0,-999,-9,-9,-9,-9,-9,415.64,0.037,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,7,0,0,0,-999,-9,-9,-9,-9,-9,415.55,0.048,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,7,1,0,0,-999,-9,-9,-9,-9,-9,415.49,0.043,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,7,2,0,0,-999,-9,-9,-9,-9,-9,415.5,0.038,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,7,3,0,0,-999,-9,-9,-9,-9,-9,415.41,0.047,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,7,4,0,0,-999,-9,-9,-9,-9,-9,415.33,0.062,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,7,5,0,0,-999,-9,-9,-9,-9,-9,415.01,0.103,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,7,6,0,0,-999,-9,-9,-9,-9,-9,414.85,0.023,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,7,7,0,0,-999,-9,-9,-9,-9,-9,414.91,0.051,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,7,8,0,0,-999,-9,-9,-9,-9,-9,414.68,0.078,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,7,9,0,0,-999,-9,-9,-9,-9,-9,414.33,0.204,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,7,10,0,0,-999,-9,-9,-9,-9,-9,413.7,0.081,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,7,11,0,0,-999,-9,-9,-9,-9,-9,413.61,0.038,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,7,12,0,0,-999,-9,-9,-9,-9,-9,413.59,0.039,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,7,13,0,0,-999,-9,-9,-9,-9,-9,413.63,0.037,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,7,14,0,0,-999,-9,-9,-9,-9,-9,413.68,0.041,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,7,15,0,0,-999,-9,-9,-9,-9,-9,413.77,0.042,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,7,16,0,0,-999,-9,-9,-9,-9,-9,413.89,0.053,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,7,17,0,0,-999,-9,-9,-9,-9,-9,413.98,0.048,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,7,18,0,0,-999,-9,-9,-9,-9,-9,413.97,0.02,60,16.864025,-24.867519,10,17,-999.999,0
