SITE_GAW_ID,START_YEAR,START_MONTH,START_DAY,START_HOUR,START_MIN,START_SEC,END_YEAR,END_MONTH,END_DAY,END_HOUR,END_MIN,END_SEC,CO2_Value,CO2_VALUE_UNC,CO2_NVALUE,LAT,LONG,ALT,ELEVATION,INTAKE,QC_Flag
CVO,2016,01,04,09,0,0,-999,-9,-9,-9,-9,-9,403.34,0.035,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,04,10,0,0,-999,-9,-9,-9,-9,-9,403.31,0.042,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,04,11,0,0,-999,-9,-9,-9,-9,-9,403.34,0.077,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,04,12,0,0,-999,-9,-9,-9,-9,-9,403.38,0.044,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,04,13,0,0,-999,-9,-9,-9,-9,-9,403.38,0.068,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,04,14,0,0,-999,-9,-9,-9,-9,-9,403.31,0.044,10,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,04,15,0,0,-999,-9,-9,-9,-9,-9,403.28,0.071,40,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,04,16,0,0,-999,-9,-9,-9,-9,-9,403.20,0.050,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,04,17,0,0,-999,-9,-9,-9,-9,-9,403.14,0.053,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,04,18,0,0,-999,-9,-9,-9,-9,-9,403.05,0.052,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,04,19,0,0,-999,-9,-9,-9,-9,-9,403.01,0.031,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,04,20,0,0,-999,-9,-9,-9,-9,-9,403.02,0.042,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,04,21,0,0,-999,-9,-9,-9,-9,-9,403.05,0.026,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,04,22,0,0,-999,-9,-9,-9,-9,-9,403.05,0.024,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,04,23,0,0,-999,-9,-9,-9,-9,-9,403.06,0.020,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,05,00,0,0,-999,-9,-9,-9,-9,-9,403.10,0.017,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,05,01,0,0,-999,-9,-9,-9,-9,-9,403.13,0.028,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,05,02,0,0,-999,-9,-9,-9,-9,-9,403.19,0.024,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,05,03,0,0,-999,-9,-9,-9,-9,-9,403.21,0.026,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,05,04,0,0,-999,-9,-9,-9,-9,-9,403.22,0.020,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,05,05,0,0,-999,-9,-9,-9,-9,-9,403.25,0.018,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,05,06,0,0,-999,-9,-9,-9,-9,-9,403.25,0.030,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,05,07,0,0,-999,-9,-9,-9,-9,-9,403.22,0.022,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,05,08,0,0,-999,-9,-9,-9,-9,-9,403.21,0.037,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,05,09,0,0,-999,-9,-9,-9,-9,-9,403.16,0.026,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,05,10,0,0,-999,-9,-9,-9,-9,-9,403.15,0.018,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,05,11,0,0,-999,-9,-9,-9,-9,-9,403.15,0.039,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,05,12,0,0,-999,-9,-9,-9,-9,-9,403.17,0.032,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,05,13,0,0,-999,-9,-9,-9,-9,-9,403.08,0.051,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,05,14,0,0,-999,-9,-9,-9,-9,-9,402.88,0.075,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,05,15,0,0,-999,-9,-9,-9,-9,-9,402.87,0.043,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,05,16,0,0,-999,-9,-9,-9,-9,-9,402.93,0.033,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,05,17,0,0,-999,-9,-9,-9,-9,-9,402.98,0.031,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,05,18,0,0,-999,-9,-9,-9,-9,-9,403.06,0.052,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,05,19,0,0,-999,-9,-9,-9,-9,-9,403.10,0.022,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,05,20,0,0,-999,-9,-9,-9,-9,-9,403.10,0.024,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,05,21,0,0,-999,-9,-9,-9,-9,-9,403.16,0.025,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,05,22,0,0,-999,-9,-9,-9,-9,-9,403.22,0.022,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,05,23,0,0,-999,-9,-9,-9,-9,-9,403.25,0.030,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,06,00,0,0,-999,-9,-9,-9,-9,-9,403.29,0.031,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,06,01,0,0,-999,-9,-9,-9,-9,-9,403.32,0.017,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,06,02,0,0,-999,-9,-9,-9,-9,-9,403.35,0.020,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,06,03,0,0,-999,-9,-9,-9,-9,-9,403.39,0.029,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,06,04,0,0,-999,-9,-9,-9,-9,-9,403.45,0.020,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,06,05,0,0,-999,-9,-9,-9,-9,-9,403.50,0.021,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,06,06,0,0,-999,-9,-9,-9,-9,-9,403.51,0.021,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,06,07,0,0,-999,-9,-9,-9,-9,-9,403.47,0.021,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,06,08,0,0,-999,-9,-9,-9,-9,-9,403.49,0.020,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,06,09,0,0,-999,-9,-9,-9,-9,-9,403.50,0.023,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,06,10,0,0,-999,-9,-9,-9,-9,-9,403.46,0.041,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,06,11,0,0,-999,-9,-9,-9,-9,-9,403.40,0.050,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,06,12,0,0,-999,-9,-9,-9,-9,-9,403.26,0.061,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,06,13,0,0,-999,-9,-9,-9,-9,-9,403.24,0.047,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,06,14,0,0,-999,-9,-9,-9,-9,-9,403.22,0.036,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,06,15,0,0,-999,-9,-9,-9,-9,-9,403.21,0.050,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,06,16,0,0,-999,-9,-9,-9,-9,-9,403.18,0.050,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,06,17,0,0,-999,-9,-9,-9,-9,-9,403.18,0.043,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,06,18,0,0,-999,-9,-9,-9,-9,-9,403.18,0.052,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,06,19,0,0,-999,-9,-9,-9,-9,-9,403.19,0.036,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,06,20,0,0,-999,-9,-9,-9,-9,-9,403.21,0.045,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,06,21,0,0,-999,-9,-9,-9,-9,-9,403.21,0.033,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,06,22,0,0,-999,-9,-9,-9,-9,-9,403.15,0.049,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,06,23,0,0,-999,-9,-9,-9,-9,-9,403.06,0.036,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,07,00,0,0,-999,-9,-9,-9,-9,-9,403.09,0.017,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,07,01,0,0,-999,-9,-9,-9,-9,-9,403.12,0.031,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,07,02,0,0,-999,-9,-9,-9,-9,-9,403.15,0.016,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,07,03,0,0,-999,-9,-9,-9,-9,-9,403.10,0.045,60,16.864025,-24.867519,10,17,-999.999,0
