Sample No,Start (Local time),Stop (Local time),Nitrate [µg/m³],Ammonium [µg/m³]
1035,25/07/2013 10:32,28/07/2013 10:32,0.8194,0.0386
1036,28/07/2013 10:32,31/07/2013 10:32,1.3204,0.0457
1037,31/07/2013 10:32,03/08/2013 10:32,0.8419,0.0467
1038,03/08/2013 10:32,06/08/2013 10:32,1.76,0.0559
1039,06/08/2013 10:32,09/08/2013 10:32,1.6374,0.0918
1040,09/08/2013 10:32,12/08/2013 10:32,1.6251,0.0442
1041,12/08/2013 10:32,15/08/2013 10:32,1.527,0.0056
1042,15/08/2013 10:32,18/08/2013 10:32,0.4211,0.0538
1043,18/08/2013 10:32,21/08/2013 10:32,1.4261,
1044,21/08/2013 10:32,24/08/2013 10:32,1.0752,0.0236
1045,24/08/2013 10:32,27/08/2013 10:32,2.6858,0.0496
1046,27/08/2013 10:32,30/08/2013 10:32,1.5941,0.0532
1047,30/08/2013 10:32,02/09/2013 10:32,0.9273,0.1168
1048,02/09/2013 10:32,05/09/2013 10:32,1.9326,0.1461
1049,05/09/2013 10:32,08/09/2013 10:32,0.6555,0.0609
1050,08/09/2013 10:32,11/09/2013 10:32,0.7558,0.0547
1051,11/09/2013 10:32,14/09/2013 10:32,0.4132,0.0311
1052,14/09/2013 10:32,17/09/2013 10:32,1.1481,0.0386
1053,17/09/2013 10:32,20/09/2013 10:32,1.1278,0.0333
1054,20/09/2013 10:32,23/09/2013 10:32,0.9148,0.0422
1055,23/09/2013 10:32,26/09/2013 10:32,0.9698,0.0425
1056,26/09/2013 10:32,29/09/2013 10:32,0.3053,0.0265
1057,29/09/2013 10:32,02/10/2013 10:32,0.8775,0.0593
1058,02/10/2013 10:32,05/10/2013 10:32,0.619,0.0261
1059,05/10/2013 10:32,08/10/2013 10:32,1.119,0.0731
1060,08/10/2013 10:32,11/10/2013 10:32,0.9337,0.0415
1061,11/10/2013 10:32,14/10/2013 10:32,1.8814,0.0876
1062,14/10/2013 10:32,17/10/2013 10:32,1.335,0.0879
1063,17/10/2013 10:32,20/10/2013 10:32,2.5344,0.0791
1064,20/10/2013 10:32,23/10/2013 10:32,1.3721,0.049
1065,23/10/2013 10:32,26/10/2013 10:32,1.2873,0.0372
1066,26/10/2013 10:32,29/10/2013 10:32,0.7543,0.0475
1067,29/10/2013 10:32,01/11/2013 10:32,1.3677,0.0666
1068,01/11/2013 10:32,04/11/2013 10:32,1.4359,0.2947
1069,04/11/2013 10:32,07/11/2013 10:32,1.8074,0.0514
1070,07/11/2013 10:32,10/11/2013 10:32,1.5961,0.0697
1071,10/11/2013 11:32,11/11/2013 12:48,1.697,0.1241
1072,11/11/2013 12:48,12/11/2013 12:48,2.0632,0.1183
1073,12/11/2013 12:48,13/11/2013 12:48,2.0411,0.2855
1074,13/11/2013 12:48,14/11/2013 12:48,1.3635,0.3168
1075,14/11/2013 12:48,15/11/2013 12:38,1.3651,0.0871
1076,15/11/2013 12:38,17/11/2013 12:38,2.0248,0.2174
1077,17/11/2013 12:38,19/11/2013 12:42,1.0921,0.2326
1078,19/11/2013 12:38,21/11/2013 12:42,0.9173,0.1647
1079,21/11/2013 12:38,23/11/2013 12:42,0.8679,0.1309
1080,23/11/2013 12:38,25/11/2013 12:36,0.6866,0.1543
1081,25/11/2013 12:45,28/11/2013 12:43,0.3472,0.0783
1082,28/11/2013 12:43,01/12/2013 12:43,0.766,0.0392
1083,01/12/2013 12:43,04/12/2013 12:43,0.8323,0.0583
1084,04/12/2013 12:43,07/12/2013 12:43,,
1085,07/12/2013 12:43,10/12/2013 12:43,1.4039,0.0416
1086,10/12/2013 12:43,13/12/2013 12:43,0.8299,0.0574
1087,13/12/2013 12:43,16/12/2013 11:45,1.3468,0.1309
1088,16/12/2013 11:59,17/12/2013 12:25,1.1668,0.1915
1089,17/12/2013 14:20,18/12/2013 14:31,1.6839,0.1713
1090,18/12/2013 14:31,19/12/2013 14:31,1.2535,0.101
1091,19/12/2013 14:31,20/12/2013 14:31,1.6544,0.2201
